date,open_price,high_price,low_price,close_price,daily_volume
5/10/2019,42.00 ,45.00 ,41.06 ,41.57 ,186322500
5/13/2019,38.79 ,39.24 ,36.08 ,37.10 ,79442400
5/14/2019,38.31 ,39.96 ,36.85 ,39.96 ,46661100
5/15/2019,39.37 ,41.88 ,38.95 ,41.29 ,36086100
5/16/2019,41.48 ,44.06 ,41.25 ,43.00 ,38115500
5/17/2019,41.98 ,43.29 ,41.27 ,41.91 ,20225700
5/20/2019,41.19 ,41.68 ,39.46 ,41.59 ,29222300
5/21/2019,42.00 ,42.24 ,41.25 ,41.50 ,10802900
5/22/2019,41.05 ,41.28 ,40.50 ,41.25 ,9089500
5/23/2019,40.80 ,41.09 ,40.02 ,40.47 ,11119900
5/24/2019,41.28 ,41.51 ,40.50 ,41.51 ,8786800
5/28/2019,41.70 ,41.80 ,40.60 ,40.95 ,13391600
5/29/2019,40.52 ,40.71 ,39.15 ,39.94 ,14060400
5/30/2019,40.07 ,40.38 ,39.50 ,39.80 ,26451900
5/31/2019,41.15 ,41.57 ,39.41 ,40.41 ,23209800
6/3/2019,40.74 ,41.85 ,40.24 ,41.25 ,16605300
6/4/2019,42.56 ,42.88 ,40.70 ,42.75 ,23432100
6/5/2019,42.87 ,45.66 ,42.50 ,45.00 ,28609600
6/6/2019,45.00 ,45.75 ,44.28 ,44.92 ,16403700
6/7/2019,44.92 ,45.67 ,44.13 ,44.16 ,12654700
6/10/2019,44.02 ,44.59 ,42.53 ,42.61 ,11618700
6/11/2019,43.22 ,43.65 ,41.80 ,42.45 ,9095000
6/12/2019,42.52 ,42.65 ,41.71 ,42.17 ,5965300
6/13/2019,43.05 ,44.35 ,42.80 ,44.31 ,10178900
6/14/2019,44.75 ,44.80 ,43.11 ,43.23 ,7902200
6/17/2019,43.28 ,44.08 ,42.93 ,43.78 ,6557600
6/18/2019,44.30 ,44.89 ,43.75 ,43.86 ,7313600
6/19/2019,44.46 ,45.50 ,43.95 ,44.86 ,10331500
6/20/2019,45.03 ,45.29 ,43.51 ,43.86 ,9567400
6/21/2019,43.85 ,44.14 ,43.38 ,44.00 ,4974000
6/24/2019,44.00 ,44.07 ,42.82 ,43.09 ,5985100
6/25/2019,43.28 ,43.79 ,42.44 ,43.09 ,5753300
6/26/2019,43.25 ,43.40 ,42.36 ,42.50 ,8109100
6/27/2019,43.35 ,45.30 ,43.20 ,45.13 ,20155100
6/28/2019,45.10 ,47.08 ,45.08 ,46.38 ,28657000
7/1/2019,46.98 ,47.04 ,44.06 ,44.27 ,17660500
7/2/2019,44.55 ,44.68 ,43.75 ,44.00 ,11881300
7/3/2019,44.00 ,44.46 ,43.79 ,44.23 ,3380000
7/5/2019,44.31 ,44.55 ,43.01 ,43.53 ,8239500
7/8/2019,43.59 ,43.85 ,42.75 ,42.95 ,9304100
7/9/2019,43.18 ,44.23 ,42.98 ,44.20 ,5251600
7/10/2019,44.48 ,44.80 ,43.56 ,43.70 ,9746500
7/11/2019,44.10 ,44.29 ,43.31 ,43.99 ,8050900
7/12/2019,44.16 ,44.24 ,43.39 ,43.99 ,8760500
7/15/2019,44.20 ,44.70 ,43.97 ,44.53 ,5811200
7/16/2019,44.60 ,44.98 ,44.02 ,44.13 ,5613300
7/17/2019,44.06 ,44.35 ,43.52 ,43.62 ,5854100
7/18/2019,43.50 ,43.85 ,43.19 ,43.71 ,4078700
7/19/2019,43.90 ,44.09 ,43.16 ,43.18 ,4021000
7/22/2019,43.25 ,43.72 ,43.01 ,43.69 ,3815300
7/23/2019,43.75 ,44.31 ,43.11 ,43.36 ,5110100
7/24/2019,43.36 ,43.87 ,43.36 ,43.76 ,3775700
7/25/2019,43.72 ,43.96 ,43.21 ,43.40 ,4412000
7/26/2019,43.42 ,44.96 ,43.39 ,44.52 ,7598800
7/29/2019,45.00 ,45.63 ,43.12 ,43.88 ,8652200
7/30/2019,43.71 ,43.74 ,42.49 ,42.59 ,7686300
7/31/2019,42.60 ,42.98 ,41.84 ,42.14 ,5970800
8/1/2019,42.14 ,42.54 ,41.00 ,41.31 ,7349700
8/2/2019,41.03 ,41.06 ,39.95 ,40.40 ,8225700
8/5/2019,39.35 ,39.42 ,38.43 ,39.05 ,9799300
8/6/2019,39.68 ,40.81 ,38.36 ,39.15 ,8570300
8/7/2019,39.06 ,39.99 ,38.32 ,39.70 ,8896000
8/8/2019,41.98 ,43.00 ,41.25 ,42.97 ,29610500
8/9/2019,39.56 ,40.68 ,38.71 ,40.05 ,35138800
8/12/2019,39.83 ,39.95 ,37.00 ,37.00 ,21231300
8/13/2019,37.00 ,37.46 ,36.12 ,36.45 ,18990600
8/14/2019,36.00 ,36.30 ,33.36 ,33.96 ,24481600
8/15/2019,34.52 ,34.55 ,32.92 ,33.22 ,13265800
8/16/2019,33.46 ,35.48 ,33.40 ,35.23 ,13883200
8/19/2019,35.53 ,35.80 ,34.37 ,34.61 ,10853100
8/20/2019,34.48 ,36.07 ,34.39 ,35.29 ,10760700
8/21/2019,35.50 ,35.83 ,34.75 ,34.91 ,7923000
8/22/2019,34.80 ,34.91 ,33.52 ,34.00 ,8513300
8/23/2019,33.65 ,34.23 ,33.12 ,33.43 ,8160600
8/26/2019,33.67 ,33.83 ,33.06 ,33.31 ,5662500
8/27/2019,33.69 ,34.24 ,32.98 ,33.11 ,6574800
8/28/2019,32.56 ,33.05 ,32.26 ,32.59 ,6245500
8/29/2019,32.90 ,33.30 ,32.60 ,32.76 ,5772200
8/30/2019,33.00 ,33.13 ,32.04 ,32.57 ,6628700
9/3/2019,32.10 ,32.53 ,30.67 ,30.70 ,12154000
9/4/2019,30.91 ,32.36 ,30.85 ,31.99 ,10357600
