date,open_price,high_price,low_price,close_price,daily_volume,daily_change_pct,volatility,ma7
5/10/2019,$42.00 ,$45.00 ,$41.06 ,$41.57 ,"$186,322,500.00 ",-1.023809524,$3.94 ,
5/13/2019,$38.79 ,$39.24 ,$36.08 ,$37.10 ,"$79,442,400.00 ",-4.356792988,$3.16 ,
5/14/2019,$38.31 ,$39.96 ,$36.85 ,$39.96 ,"$46,661,100.00 ",4.30696946,$3.11 ,
5/15/2019,$39.37 ,$41.88 ,$38.95 ,$41.29 ,"$36,086,100.00 ",4.876809754,$2.93 ,
5/16/2019,$41.48 ,$44.06 ,$41.25 ,$43.00 ,"$38,115,500.00 ",3.664416586,$2.81 ,
5/17/2019,$41.98 ,$43.29 ,$41.27 ,$41.91 ,"$20,225,700.00 ",-0.16674607,$2.02 ,
5/20/2019,$41.19 ,$41.68 ,$39.46 ,$41.59 ,"$29,222,300.00 ",0.971109493,$2.22 ,$40.92 
5/21/2019,$42.00 ,$42.24 ,$41.25 ,$41.50 ,"$10,802,900.00 ",-1.19047619,$0.99 ,$40.91 
5/22/2019,$41.05 ,$41.28 ,$40.50 ,$41.25 ,"$9,089,500.00 ",0.487210719,$0.78 ,$41.50 
5/23/2019,$40.80 ,$41.09 ,$40.02 ,$40.47 ,"$11,119,900.00 ",-0.808823529,$1.07 ,$41.57 
5/24/2019,$41.28 ,$41.51 ,$40.50 ,$41.51 ,"$8,786,800.00 ",0.557170543,$1.01 ,$41.60 
5/28/2019,$41.70 ,$41.80 ,$40.60 ,$40.95 ,"$13,391,600.00 ",-1.798561151,$1.20 ,$41.31 
5/29/2019,$40.52 ,$40.71 ,$39.15 ,$39.94 ,"$14,060,400.00 ",-1.431391905,$1.56 ,$41.03 
5/30/2019,$40.07 ,$40.38 ,$39.50 ,$39.80 ,"$26,451,900.00 ",-0.673820814,$0.88 ,$40.77 
5/31/2019,$41.15 ,$41.57 ,$39.41 ,$40.41 ,"$23,209,800.00 ",-1.798298906,$2.16 ,$40.62 
6/3/2019,$40.74 ,$41.85 ,$40.24 ,$41.25 ,"$16,605,300.00 ",1.251840943,$1.61 ,$40.62 
6/4/2019,$42.56 ,$42.88 ,$40.70 ,$42.75 ,"$23,432,100.00 ",0.446428571,$2.18 ,$40.94 
6/5/2019,$42.87 ,$45.66 ,$42.50 ,$45.00 ,"$28,609,600.00 ",4.968509447,$3.16 ,$41.44 
6/6/2019,$45.00 ,$45.75 ,$44.28 ,$44.92 ,"$16,403,700.00 ",-0.177777778,$1.47 ,$42.01 
6/7/2019,$44.92 ,$45.67 ,$44.13 ,$44.16 ,"$12,654,700.00 ",-1.691896705,$1.54 ,$42.61 
6/10/2019,$44.02 ,$44.59 ,$42.53 ,$42.61 ,"$11,618,700.00 ",-3.203089505,$2.06 ,$43.01 
6/11/2019,$43.22 ,$43.65 ,$41.80 ,$42.45 ,"$9,095,000.00 ",-1.781582601,$1.85 ,$43.31 
6/12/2019,$42.52 ,$42.65 ,$41.71 ,$42.17 ,"$5,965,300.00 ",-0.823142051,$0.94 ,$43.44 
6/13/2019,$43.05 ,$44.35 ,$42.80 ,$44.31 ,"$10,178,900.00 ",2.926829268,$1.55 ,$43.66 
6/14/2019,$44.75 ,$44.80 ,$43.11 ,$43.23 ,"$7,902,200.00 ",-3.396648045,$1.69 ,$43.41 
